,ê-Cnj,kâ-Cnj,Other-Conjuncts
(Intercept),-0.15774704,-0.56340105,
actor.2TRUE,-1.17056095,0.55268729,
goal.1TRUE,1.46882784,-,
goal.4TRUE,1.23989150,-,
NDA.Relations.goalTRUE,0.90360751,-0.89202619,
Pers.goalTRUE,0.94507765,-,
Prox.actorTRUE,-1.13209968,1.21472860,
PV.PositionTRUE,-1.59762183,-2.40087194,
PV.TimeTRUE,-3.31184277,-2.10295792,
RdplSTRUE,1.07462799,-1.29528144,
Sg.goalTRUE,-0.46742533,0.31984858,
